datetime,temperature,feels_like,temp_min,temp_max,pressure,humidity,visibility,wind_speed,wind_direction,clouds
1686096239,284.64,283.91,283.09,285.39,1022,79,10000,4.47,48,75
1686096377,284.64,283.91,283.09,285.39,1022,79,10000,4.47,48,75
1686096479,284.64,283.91,283.09,285.39,1022,79,10000,4.12,60,75
1686096545,284.64,283.91,283.09,285.39,1022,79,10000,4.12,60,75
1686096545,284.64,283.91,283.09,285.39,1022,79,10000,4.12,60,75
1686097080,284.55,283.81,283.09,285.39,1022,79,10000,4.12,60,75
1686097080,284.55,283.81,283.09,285.39,1022,79,10000,4.12,60,75
1686097080,284.55,283.81,283.09,285.39,1022,79,10000,4.12,60,75
1686097080,284.55,283.81,283.09,285.39,1022,79,10000,4.12,60,75
1686097080,284.55,283.81,283.09,285.39,1022,79,10000,4.12,60,75
1686097080,284.55,283.81,283.09,285.39,1022,79,10000,4.12,60,75
1686097270,284.52,283.78,283.09,285.23,1022,79,10000,4.12,60,75
1686097386,284.57,283.83,283.09,285.23,1022,79,10000,4.12,60,75
1686097431,284.57,283.83,283.09,285.23,1022,79,10000,4.12,60,75
1686097523,284.57,283.83,283.09,285.23,1022,79,10000,4.12,60,75
1686098062,284.45,283.7,283.09,285.23,1022,79,10000,5.14,60,75
1686098062,284.45,283.7,283.09,285.23,1022,79,10000,5.14,60,75
1686098202,284.46,283.68,283.09,285.23,1022,78,10000,5.14,60,75
1686098202,284.46,283.68,283.09,285.23,1022,78,10000,5.14,60,75
1686098286,284.46,283.68,283.09,285.23,1022,78,10000,5.14,60,75
1686098286,284.46,283.68,283.09,285.23,1022,78,10000,5.14,60,75
1686098663,284.47,283.69,283.19,285.23,1022,78,10000,5.14,60,75
1686098663,284.47,283.69,283.19,285.23,1022,78,10000,5.14,60,75
1686098811,284.47,283.69,283.19,285.23,1022,78,10000,5.14,60,75
1686098811,284.47,283.69,283.19,285.23,1022,78,10000,5.14,60,75
1686098959,284.47,283.69,283.19,285.23,1022,78,10000,5.14,60,75
